,MainHaloID,HaloID,Galaxy_Type,r,X,Y,Z,Vx,Vy,Vz,R200c,Distancia XY,Distancia YZ,Distancia XZ,m_rx,m_ry,m_rz,m_mean,Dispersion,Tamaño Angular del grupo XY (arcsec),Tamaño Angular del grupo YZ (arcsec),Tamaño Angular del grupo XZ (arcsec),Brillo Superficial
50839,12573287739,12573287739,0,-20.79472,41750.945,294551.3,603763.9,723.37,-359.64,591.34,170.69305,297495.56,671782.2,605205.7,16.572681,18.341423,18.114796,17.6763,176.25603073367404,8.262238,3.6588938,4.0613956,21.323008
101668,12578000516,12578000516,0,-18.502258,53158.805,26992.777,26600.934,153.09,-26.52,-113.45,60.013355,59619.363,37897.49,59442.984,15.37468,14.390793,15.368244,15.044572,59.084737291765954,14.495142,22.803343,14.538151,21.869802
