,MainHaloID,HaloID,Galaxy_Type,r,X,Y,Z,Vx,Vy,Vz,R200c,Distancia XY,Distancia YZ,Distancia XZ,m_rx,m_ry,m_rz,m_mean,Dispersion,Tamaño Angular del grupo XY (arcsec),Tamaño Angular del grupo YZ (arcsec),Tamaño Angular del grupo XZ (arcsec),Brillo Superficial
212190,12588457573,12588457573,0,-21.445255,121460.71,54554.89,633406.4,189.22,98.04,-508.57,123.72096,133150.06,635751.44,644946.75,14.176449,17.571182,17.602364,16.449999,169.39029672125247,13.38024,2.8023243,2.76237,20.695171
544817,12618761495,12618761495,0,-20.989552,230032.75,280365.2,152834.39,-188.21,-437.75,-143.66,177.68452,362656.47,319316.44,276176.44,16.807926,16.531551,16.216381,16.51862,374.7997181424307,7.055317,8.012917,9.264569,20.75434
