Unnamed: 0,MainHaloID,HaloID,Galaxy_Type,r,X,Y,Z,Vx,Vy,Vz,R200c,Distancia XY,Distancia YZ,Distancia XZ,m_rx,m_ry,m_rz,m_mean,Dispersion,Tamaño Angular del grupo XY (arcsec),Tamaño Angular del grupo YZ (arcsec),Tamaño Angular del grupo XZ (arcsec),Brillo Superficial,R200
416219.0,12606291914,12606291914,0,-20.952602,187853.81,28204.832,502081.7,-201.09,508.3,283.61,139.19429,189959.39,502873.28,536073.75,15.440701,17.554691,17.69352,16.896303,290.1831251417732,10.55171,3.98589,3.7390332,20.68859,
203123.0,12587479956,12587479956,0,-19.709755,101545.97,5427.473,175931.7,-361.7,159.81,-23.69,78.93241,101690.91,176015.4,203134.31,15.326656,16.518002,16.829163,16.224607,105.20791999889585,11.177261,6.4575396,5.595443,21.29857,
2111.0,12568853158,12568853158,0,-18.840885,38317.758,17378.018,266453.34,98.05,-399.7,-68.58,75.029305,42074.293,267019.44,269194.44,14.279198,18.291832,18.309444,16.960157,108.90582693686048,25.678802,4.0462294,4.0135374,21.624968,
8814.0,12569557346,12569557346,0,-19.082987,21903.518,80967.74,369932.03,453.76,176.34,-353.21,74.5568,83878.125,378689.16,370579.9,15.535257,18.808432,18.761423,17.701704,136.8595245693114,12.799724,2.8350902,2.8971293,21.084757,
223481.0,12588317121,12588317121,0,-19.41229,113224.9,68815.836,483237.25,387.75,259.48,342.6,83.82213,132497.16,488112.53,496324.6,16.198744,19.030313,19.066538,18.098532,101.82065823003563,9.109916,2.4728696,2.4319541,21.281578,
240989.0,12589946670,12589946670,0,-21.319086,92317.375,170274.06,359228.16,422.05,-207.47,-87.41,126.258804,193689.83,397540.1,370900.75,15.116446,16.677816,16.527205,16.107155,182.2513979204936,9.38679,4.573442,4.9019217,20.444265,
3759.0,12568917482,12568917482,0,-15.572589,27493.527,13775.227,328709.0,560.93,696.27,-520.81,43.321205,30751.438,328997.5,329856.78,16.866737,22.013374,22.01904,20.299717,46.52290621381997,20.286001,1.8961401,1.8912007,22.817015,
5694.0,12569034793,12569034793,0,-16.62817,42728.992,42038.17,452817.34,-167.83,289.56,218.89,64.44904,59941.43,454764.5,454828.88,17.260464,21.660763,21.661072,20.1941,44.514704109988685,15.482861,2.0407622,2.0404732,21.906662,
5727.0,12569038121,12569038121,0,-17.695726,12567.344,21908.525,412265.38,-223.38,211.03,-264.54,45.015114,25257.11,412847.1,412456.88,14.316191,20.383223,20.381166,18.360193,69.34161424722959,25.66465,1.5701154,1.571601,21.678482,
6268.0,12569100785,12569100785,0,-17.422363,19375.021,35601.42,503384.5,167.53,27.12,-198.59,18.119446,40532.12,504641.88,503757.22,15.616634,21.092552,21.088741,19.265976,525.697495476283,6.437362,0.51703995,0.517948,20.238276,
5358.0,12569126429,12569126429,0,-19.221495,41071.805,39857.64,524118.44,523.43,544.35,121.21,78.39813,57232.2,525631.75,525725.25,14.566706,19.38191,19.382296,17.77697,112.85304291868374,19.72544,2.1477642,2.1473825,21.67216,
